case_id,module,priority,status,notes,evidence
P1-001,Postal Code,P1,FAIL,"No country selector found",""
P1-002,Postal Code,P1,PASS,"CA ZZZ999 no_match correct","screenshots/P1-002-zzz999.png"
P1-003,Postal Code,P1,PASS,"US 90210 Beverly Hills result","screenshots/P1-003-us-90210.png"
P1-004,Postal Code,P1,PASS,"JP 100-0000 Tokyo result","screenshots/P1-004-jp-1000000.png"
P1-005,Postal Code,P1,PASS,"No map link (acceptable for no_match or non-exact)",""
P1-009,Country Page,P1,PASS,"Hero/H1 found","screenshots/P1-009-canada-full.png"
P1-010,Country Page,P1,PASS,"Time card found",""
P1-011,Country Page,P1,PASS,"44 quick links found",""
P1-012,Country Page,P1,PASS,"0 tool-related elements",""
P1-013,Country Page,P1,PASS,"BBS link found",""
P1-014,Country Page,P1,PASS,"FAQ section found",""
P1-015,Country Page,P1,FAIL,"No disclaimer",""
P1-016,Country Page,P1,PASS,"Layout check (2-col or single acceptable)",""
P1-017,Country Page,P1,PASS,"US page: 200","screenshots/P1-017-us-page.png"
P1-017,BBS,P1,PASS,"10 post links found","screenshots/P1-017-bbs-list.png"
P1-018,BBS,P1,PASS,"Post detail loaded (9498 chars)","screenshots/P1-018-post-detail.png"
P1-019,BBS,P1,PASS,"Unauthenticated /bbs/new redirected to login","screenshots/P1-019-bbs-new-redirect.png"
P1-020,Login,P1,FAIL,"Login failed","screenshots/P1-020-user-login.png"
P2-001,Admin Login,P2,FAIL,"Admin login failed","screenshots/P2-001-admin-login.png"
P2-MOBILE-iphone12-,Mobile,P2,PASS,"iphone12 /: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-.png"
P2-MOBILE-iphone12-destinations-canada,Mobile,P2,PASS,"iphone12 /destinations/canada: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-destinations-canada.png"
P2-MOBILE-iphone12-tools-postal-code,Mobile,P2,PASS,"iphone12 /tools/postal-code: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-tools-postal-code.png"
P2-MOBILE-iphone12-bbs,Mobile,P2,PASS,"iphone12 /bbs: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-bbs.png"
P2-MOBILE-android360-,Mobile,P2,PASS,"android360 /: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-.png"
P2-MOBILE-android360-destinations-canada,Mobile,P2,PASS,"android360 /destinations/canada: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-destinations-canada.png"
P2-MOBILE-android360-tools-postal-code,Mobile,P2,PASS,"android360 /tools/postal-code: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-tools-postal-code.png"
P2-MOBILE-android360-bbs,Mobile,P2,PASS,"android360 /bbs: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-bbs.png"
P2-MOBILE-ipad-,Mobile,P2,PASS,"ipad /: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-.png"
P2-MOBILE-ipad-destinations-canada,Mobile,P2,PASS,"ipad /destinations/canada: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-destinations-canada.png"
P2-MOBILE-ipad-tools-postal-code,Mobile,P2,PASS,"ipad /tools/postal-code: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-tools-postal-code.png"
P2-MOBILE-ipad-bbs,Mobile,P2,PASS,"ipad /bbs: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-bbs.png"
P2-MOBILE-desktop-,Mobile,P2,FAIL,"desktop /: scrollW=1329 clientW=1280 OVERFLOW!","screenshots/P2-MOBILE-desktop-.png"
P2-MOBILE-desktop-destinations-canada,Mobile,P2,FAIL,"desktop /destinations/canada: scrollW=1329 clientW=1280 OVERFLOW!","screenshots/P2-MOBILE-desktop-destinations-canada.png"
P2-MOBILE-desktop-tools-postal-code,Mobile,P2,FAIL,"desktop /tools/postal-code: scrollW=1329 clientW=1280 OVERFLOW!","screenshots/P2-MOBILE-desktop-tools-postal-code.png"
P2-MOBILE-desktop-bbs,Mobile,P2,FAIL,"desktop /bbs: scrollW=1329 clientW=1280 OVERFLOW!","screenshots/P2-MOBILE-desktop-bbs.png"
P3-001,SEO,P3,FAIL,"page.getAttribute: Timeout 30000ms exceeded.
Call log:
  - waiting for locator('",""
P3-002,SEO,P3,PASS,"title=Y desc=Y canonical=Y og=Y robots=index,follow","screenshots/P3-002-seo.png"
P3-003,SEO,P3,FAIL,"page.getAttribute: Timeout 30000ms exceeded.
Call log:
  - waiting for locator('",""
P3-004,SEO,P3,PASS,"X-Robots-Tag: noindex, nofollow",""
P3-005,Security,P3,PASS,"Unauth /admin → /login?reason=no-session","screenshots/P3-005-admin-redirect.png"
P3-006,Security,P3,PASS,"XSS input not executed (escaped)","screenshots/P3-006-xss.png"
P3-007,Security,P3,FAIL,"500 error on SQL injection input","screenshots/P3-007-sqli.png"
P3-008,Ops,P3,FAIL,"/api/health: 401","screenshots/P3-008-health.png"
