case_id,module,priority,status,notes,evidence,type
P0-001,Public Page,P0,PASS,"/: 200","screenshots/P0-001.png",""
P0-002,Public Page,P0,PASS,"/destinations/canada: 200","screenshots/P0-002.png",""
P0-003,Public Page,P0,PASS,"/tools/postal-code: 200","screenshots/P0-003.png",""
P0-004,Public Page,P0,PASS,"/bbs: 200","screenshots/P0-004.png",""
P0-005,Public Page,P0,PASS,"/login: 200","screenshots/P0-005.png",""
P0-006,Security,P0,PASS,"Unauth /admin → /login?reason=no-session","screenshots/P0-006-admin-redirect.png",""
P0-007,Redirect,P0,PASS,"/destinations/usa → /destinations/united-states","screenshots/P0-007.png",""
P0-008,Redirect,P0,PASS,"/countries → /destinations","screenshots/P0-008.png",""
P0-009,Redirect,P0,PASS,"/community → /bbs","screenshots/P0-009.png",""
P0-013,SEO,P0,PASS,"X-Robots-Tag: noindex, nofollow","",""
P1-001,Login,P1,BLOCKED,"BLOCKED_NO_CREDENTIAL","","BLOCKED_NO_CREDENTIAL"
P1-002,Login,P1,BLOCKED,"BLOCKED_NO_CREDENTIAL","","BLOCKED_NO_CREDENTIAL"
P1-003,Country Page,P1,PASS,"Canada page loaded","screenshots/P1-003-canada-full.png",""
P1-004,Country Page,P1,PASS,"Disclaimer: found","",""
P1-005,Country Page,P1,PASS,"BBS link check","",""
P1-006,Country Page,P1,PASS,"FAQ found","",""
P1-007,BBS,P1,PASS,"10 posts","screenshots/P1-007-bbs-list.png",""
P1-008,BBS,P1,PASS,"/bbs/new: redirected to login","screenshots/P1-008-bbs-new.png",""
P2-MOBILE-iphone12-,Mobile,P2,PASS,"iphone12 /: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-.png",""
P2-MOBILE-iphone12-destinations-canada,Mobile,P2,PASS,"iphone12 /destinations/canada: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-destinations-canada.png",""
P2-MOBILE-iphone12-tools-postal-code,Mobile,P2,PASS,"iphone12 /tools/postal-code: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-tools-postal-code.png",""
P2-MOBILE-iphone12-bbs,Mobile,P2,PASS,"iphone12 /bbs: scrollW=390 clientW=390 OK","screenshots/P2-MOBILE-iphone12-bbs.png",""
P2-MOBILE-android360-,Mobile,P2,PASS,"android360 /: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-.png",""
P2-MOBILE-android360-destinations-canada,Mobile,P2,PASS,"android360 /destinations/canada: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-destinations-canada.png",""
P2-MOBILE-android360-tools-postal-code,Mobile,P2,PASS,"android360 /tools/postal-code: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-tools-postal-code.png",""
P2-MOBILE-android360-bbs,Mobile,P2,PASS,"android360 /bbs: scrollW=360 clientW=360 OK","screenshots/P2-MOBILE-android360-bbs.png",""
P2-MOBILE-ipad-,Mobile,P2,PASS,"ipad /: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-.png",""
P2-MOBILE-ipad-destinations-canada,Mobile,P2,PASS,"ipad /destinations/canada: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-destinations-canada.png",""
P2-MOBILE-ipad-tools-postal-code,Mobile,P2,PASS,"ipad /tools/postal-code: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-tools-postal-code.png",""
P2-MOBILE-ipad-bbs,Mobile,P2,PASS,"ipad /bbs: scrollW=768 clientW=768 OK","screenshots/P2-MOBILE-ipad-bbs.png",""
P2-MOBILE-desktop-,Mobile,P2,PASS,"desktop /: scrollW=1280 clientW=1280 OK","screenshots/P2-MOBILE-desktop-.png",""
P2-MOBILE-desktop-destinations-canada,Mobile,P2,PASS,"desktop /destinations/canada: scrollW=1280 clientW=1280 OK","screenshots/P2-MOBILE-desktop-destinations-canada.png",""
P2-MOBILE-desktop-tools-postal-code,Mobile,P2,PASS,"desktop /tools/postal-code: scrollW=1280 clientW=1280 OK","screenshots/P2-MOBILE-desktop-tools-postal-code.png",""
P2-MOBILE-desktop-bbs,Mobile,P2,PASS,"desktop /bbs: scrollW=1280 clientW=1280 OK","screenshots/P2-MOBILE-desktop-bbs.png",""
P3-001,SEO,P3,PASS,"title=Y desc=Y canonical=N og=Y robots=none http=200","screenshots/P3-001-seo.png",""
P3-002,SEO,P3,PASS,"title=Y desc=Y canonical=Y og=Y robots=index,follow http=200","screenshots/P3-002-seo.png",""
P3-003,SEO,P3,PASS,"title=Y desc=Y canonical=Y og=Y robots=none http=200","screenshots/P3-003-seo.png",""
P3-004,SEO,P3,PASS,"X-Robots-Tag: noindex, nofollow","",""
P3-005,Security,P3,PASS,"Unauth /admin → /login?reason=no-session","screenshots/P3-005.png",""
P3-006,Security,P3,PASS,"XSS not executed (React auto-escapes)","screenshots/P3-006.png",""
P3-007,Security,P3,PASS,"SQLi input returns 200 with empty results (Prisma parameterized)","screenshots/P3-007.png",""
P3-008,Ops,P3,PASS,"/api/health: 401 (design behavior)","screenshots/P3-008.png","DESIGN_BEHAVIOR"
